word,translation,type,pinyin
德国,Allemagne,Noms et expressions,Déguó
法语,Français (langue),Noms et expressions,Fǎyǔ
韩语,Coréen (langue),Noms et expressions,Hányǔ
哈哈,Ah ah !,Noms et expressions,Hāhā
酒,Alcool,Noms et expressions,Jiǔ
厉害,Super !,Noms et expressions,Lìhai
男生,Garçon,Noms et expressions,Nánshēng
女生,Fille,Noms et expressions,Nǚshēng
朋友,Ami,Noms et expressions,Péngyou
西班牙,Espagne,Noms et expressions,Xībānyá
英国,Angleterre,Noms et expressions,Yīngguó
谁,Qui ?,Interrogatifs,Shéi/Shuí
出去,Sortir,Verbes,Chūqù
喝,Boire,Verbes,Hē
会,Savoir faire,Verbes,Huì
可以,Pouvoir (autorisation),Verbes,Kěyǐ
说,Parler,Verbes,Shuō
玩/玩儿,S'amuser,Verbes,Wán/Wánr
都,Tout/tous,Divers,Dōu
太...了,Trop,Divers,Tài...le
一起,Ensemble,Divers,Yīqǐ
只,Seulement/ne...que,Divers,Zhǐ
最,Le plus,Divers,Zuì
可爱,Adorable,Divers,Kě'ài
比,Comparer,Divers,Bǐ
韩国,Corée du Sud,Noms et expressions,Hánguó
酒吧,Bar,Noms et expressions,Jiǔbā
语言,Langue,Noms et expressions,Yǔyán
