word,translation,type,pinyin
产品,Produit,Noms et expressions,Chǎnpǐn
店铺,Magasin,Noms et expressions,Diànpù
发展,Développement,Noms et expressions,Fāzhǎn
公司,Entreprise,Noms et expressions,Gōngsī
关系,Relation,Noms et expressions,Guānxi
会议,Réunion,Noms et expressions,Huìyì
老板,Patron,Noms et expressions,Lǎobǎn
您,Vous (poli),Noms et expressions,Nín
女士,Madame,Noms et expressions,Nǚshì
其他,Autre,Noms et expressions,Qítā
题目,Thème,Noms et expressions,Tímù
同事,Collègue,Noms et expressions,Tóngshì
先生,Monsieur,Noms et expressions,Xiānsheng
医生,Médecin,Noms et expressions,Yīshēng
建议,Proposition,Noms et expressions,Jiànyì
主意,Idée,Noms et expressions,Zhǔyì
参加,Participer,Verbes,Cānjiā
打(一个)电话,Téléphoner,Verbes,Dǎ diànhuà
来,Venir,Verbes,Lái
留,Rester,Verbes,Liú
能,Pouvoir,Verbes,Néng
请,Prier/inviter,Verbes,Qǐng
生病,Tomber malade,Verbes,Shēngbìng
应该,Devoir,Verbes,Yīnggāi
重要,Important,Adjectifs,Zhòngyào
难受,Malade/pas en forme,Adjectifs,Nánshòu
但是,Mais/cependant,Autres,Dànshì
给,À,Autres,Gěi
还,Encore,Autres,Hái
就,Alors/donc,Autres,Jiù
如果...的话,Si...,Autres,Rúguǒ...de huà
喂,Allô,Autres,Wéi
一样,Identique,Autres,Yīyàng
